,Unnamed: 0,lng,lat,id,icon_caption_x,speed_limit,raw_text,icon_caption_y,geom_type,geometry,id_clean,dist_m
224,258,71.4209507,51.0964576,d26ed514-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP266 Нур-Султан, от просп. Мангилик Ел в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-4965 Дата последних изменений: 2020-10-12 15:20:08 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4209507 51.0964576, 71.423095708407 51.09638700236, 71.422927900516 51.09593052826, 71.4209507 51.0964576))",d26ed514-ec83-11ea-9092-001876201992,861.6470670321072
226,260,71.4237523,51.0870501,d26eea51-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP307 Нур-Султан, от ул. Турара Рыскулова в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5022 Дата последних изменений: 2023-07-07 15:55:28 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4237523 51.0870501, 71.423939619759 51.08929524881, 71.425150801054 51.089119606718, 71.4237523 51.0870501))",d26eea51-ec83-11ea-9092-001876201992,567.5414817573144
227,261,71.4237898,51.0865197,d26eeac4-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP307 Нур-Султан, от ул. Турара Рыскулова в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5023 Дата последних изменений: 2023-07-07 15:55:40 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4237898 51.0865197, 71.423602482055 51.084274551201, 71.422391314674 51.084450193365, 71.4237898 51.0865197))",d26eeac4-ec83-11ea-9092-001876201992,597.6021040769207
231,265,71.4216253,51.1103381,d26efa79-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP342 Нур-Султан, от ул. А?мешіт в сторону ул. Т?ркістан Старый номер: KZ-KZ-AST-5066 Дата последних изменений: 2020-10-13 16:35:47 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4216253 51.1103381, 71.421700284555 51.111686216218, 71.422430178261 51.111588813584, 71.4216253 51.1103381))",d26efa79-ec83-11ea-9092-001876201992,2372.8921579063194
232,266,71.4213141,51.1101085,d26efb1c-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP342 Нур-Султан, от ул. Т?ркістан в сторону просп. ?абанбай Батыр Старый номер: KZ-KZ-AST-5068 Дата последних изменений: 2020-10-13 16:37:05 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4213141 51.1101085, 71.418451063175 51.11017126942, 71.418657920258 51.110782261145, 71.4213141 51.1101085))",d26efb1c-ec83-11ea-9092-001876201992,2344.400490656657
233,267,71.4218935,51.1101321,d26efb73-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP342 Нур-Султан, от ул. Т?ркістан в сторону ул. А?мешіт Старый номер: KZ-KZ-AST-5069 Дата последних изменений: 2020-10-13 16:36:37 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4218935 51.1101321, 71.42403685375 51.110038003163, 71.423856332627 51.109583437812, 71.4218935 51.1101321))",d26efb73-ec83-11ea-9092-001876201992,2353.228027818547
234,268,71.429982,51.0950265,d26efd21-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP350-КРЗ- Нур-Султан, от просп. Мангилик Ел в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5074 Дата последних изменений: 2020-10-12 15:26:22 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.429982 51.0950265, 71.427839346524 51.095120596963, 71.428019808737 51.095575162303, 71.429982 51.0950265))",d26efd21-ec83-11ea-9092-001876201992,1144.402090925013
235,269,71.4306848,51.095067,d26efdc5-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP350 Нур-Султан, от ул. Ш??герей Б?кеев в сторону ул. Ш??герей Б?кеев Старый номер: KZ-KZ-AST-5076 Дата последних изменений: 2020-10-12 15:25:33 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4306848 51.095067, 71.433544725198 51.094972869813, 71.433320988072 51.09436423768, 71.4306848 51.095067))",d26efdc5-ec83-11ea-9092-001876201992,1187.790360279496
237,273,71.4015679,51.0862284,d26f0432-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP37 Нур-Султан, от ул. 31 в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5094 Дата последних изменений: 2020-09-29 09:35:22 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4015679 51.0862284, 71.401467972448 51.084430911716, 71.40049528821 51.084560781951, 71.4015679 51.0862284))",d26f0432-ec83-11ea-9092-001876201992,1090.3971803650684
238,274,71.4073264,51.1027032,d26f05f1-ec83-11ea-9092-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP374 Нур-Султан, от ул. Орынбор в сторону просп. Улы Дала Старый номер: KZ-KZ-AST-5099 Дата последних изменений: 2020-09-29 10:37:54 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4073264 51.1027032, 71.407551259816 51.105397378572, 71.40900516946 51.105186608061, 71.4073264 51.1027032))",d26f05f1-ec83-11ea-9092-001876201992,1625.1337129893568
